ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked turtles
450,1499,193,78,204,1024,90
451,1500,188,70,222,1020,90
452,1500,184,79,229,1008,90
453,1500,179,83,240,998,90
454,1499,158,92,253,996,90
455,1500,156,93,256,995,90
456,1500,146,94,260,1000,90
457,1499,135,89,276,999,91
458,1496,131,74,291,1000,91
459,1498,126,78,294,1000,94
460,1497,133,64,296,1004,94
461,1498,133,60,300,1005,94
462,1500,138,54,306,1002,95
463,1500,140,53,311,996,95
464,1492,136,54,301,1001,95
465,1490,126,67,289,1008,95
466,1498,117,81,287,1013,96
467,1500,110,91,280,1019,95
468,1491,112,83,272,1024,93
469,1489,110,74,281,1024,94
470,1482,102,61,290,1029,94
471,1484,101,59,282,1042,98
472,1477,108,58,262,1049,99
473,1477,108,62,258,1049,99
474,1480,115,59,251,1055,99
475,1478,111,57,248,1062,97
476,1477,114,58,240,1065,97
477,1488,122,55,244,1067,98
478,1489,128,49,245,1067,96
479,1498,136,54,244,1064,96
480,1500,137,56,244,1063,96
481,1497,132,56,247,1062,95
482,1500,133,66,238,1063,93
483,1494,128,67,230,1069,92
484,1496,131,63,222,1080,91
485,1498,138,63,214,1083,91
486,1500,146,51,225,1078,91
487,1500,150,50,224,1076,92
488,1498,152,47,222,1077,92
489,1497,149,51,217,1080,92
490,1499,143,56,219,1081,92
491,1499,140,59,218,1082,91
492,1500,144,61,209,1086,92
493,1500,142,62,215,1081,92
494,1500,138,61,218,1083,92
495,1500,144,54,220,1082,92
496,1499,131,61,225,1082,93
497,1500,136,58,224,1082,93
498,1493,133,62,217,1081,94
499,1495,134,61,225,1075,95
500,1497,141,62,214,1080,94
501,1496,144,66,213,1073,94
502,1500,146,62,215,1077,94
503,1499,144,56,224,1075,94
504,1499,139,59,225,1076,94
505,1499,142,57,225,1075,95
506,1500,136,61,230,1073,94
507,1499,138,58,229,1074,94
508,1500,142,65,227,1066,94
509,1499,149,59,230,1061,96
510,1497,144,67,228,1058,95
511,1499,149,67,229,1054,95
512,1499,145,75,233,1046,95
513,1500,154,71,230,1045,95
514,1499,154,66,238,1041,95
515,1500,158,71,239,1032,95
516,1497,156,62,245,1034,97
517,1499,159,70,237,1033,96
518,1499,163,68,242,1026,96
519,1497,154,69,244,1030,98
520,1500,151,72,247,1030,99
521,1500,140,78,249,1033,99
522,1499,137,77,255,1030,99
523,1498,134,73,255,1036,101
524,1500,136,74,260,1030,103
525,1498,120,74,272,1032,103
526,1493,118,76,265,1034,103
527,1497,119,75,273,1030,103
528,1497,131,75,267,1024,103
529,1500,134,63,280,1023,102
530,1498,126,73,271,1028,102
531,1500,125,69,279,1027,102
532,1498,133,68,276,1021,103
533,1496,127,71,275,1023,103
534,1497,132,67,282,1016,103
535,1498,133,74,281,1010,103
536,1498,137,77,274,1010,104
537,1498,144,67,275,1012,104
538,1500,152,68,276,1004,105
539,1496,149,68,268,1011,105
540,1500,146,71,276,1007,104
541,1499,150,73,267,1009,106
542,1500,146,72,271,1011,107
543,1496,139,77,264,1016,107
544,1499,140,81,265,1013,107
545,1495,151,63,268,1013,107
546,1497,145,73,272,1007,107
547,1494,136,72,277,1009,106
548,1498,141,75,266,1016,105
549,1499,130,76,270,1023,104
550,1500,130,73,279,1018,105
551,1500,124,84,275,1017,106
552,1490,121,80,280,1009,105
553,1486,119,79,276,1012,104
554,1494,124,76,281,1013,103
555,1498,123,64,294,1017,102
556,1497,128,63,289,1017,102
557,1498,123,62,285,1028,103
558,1500,117,57,294,1032,103
559,1498,115,57,281,1045,102
560,1492,112,53,277,1050,102
561,1492,116,54,268,1054,101
562,1497,124,47,274,1052,103
563,1496,128,50,264,1054,103
564,1498,133,53,253,1059,102
565,1500,133,58,251,1058,102
566,1492,122,66,239,1065,102
567,1494,119,66,238,1071,102
568,1488,120,61,229,1078,100
569,1489,120,60,224,1085,99
570,1492,122,58,226,1086,101
571,1492,121,57,221,1093,101
572,1500,130,55,212,1103,101
573,1499,117,53,224,1105,101
574,1499,127,51,218,1103,100
575,1497,126,55,214,1102,100
576,1499,145,48,210,1096,100
577,1496,132,51,217,1096,100
578,1499,137,58,214,1090,101
579,1500,139,62,211,1088,103
580,1500,142,62,217,1079,103
581,1500,148,59,217,1076,104
582,1496,147,53,221,1075,104
583,1495,146,54,214,1081,105
584,1499,149,61,209,1080,106
585,1500,150,60,215,1075,106
586,1500,152,62,212,1074,105
587,1496,156,63,209,1068,105
588,1500,150,73,212,1065,106
589,1498,142,74,218,1064,105
590,1500,142,68,225,1065,105
591,1492,144,70,225,1053,106
592,1498,151,72,236,1039,107
593,1499,147,72,243,1037,108
594,1500,152,73,239,1036,108
595,1498,148,69,248,1033,108
596,1500,147,71,247,1035,109
597,1500,146,69,250,1035,108
598,1500,128,79,257,1036,108
599,1498,122,79,259,1038,108
600,1500,118,78,263,1041,106
601,1500,110,75,266,1049,106
602,1500,105,70,279,1046,106
603,1499,117,58,281,1043,106
604,1490,126,53,278,1033,106
605,1488,128,51,276,1033,105
606,1487,130,50,272,1035,104
607,1489,137,54,260,1038,106
608,1491,128,62,263,1038,106
609,1492,131,65,251,1045,106
610,1500,144,61,248,1047,106
611,1497,135,65,249,1048,105
612,1500,143,62,246,1049,106
613,1498,143,58,246,1051,106
614,1498,142,61,242,1053,105
615,1499,142,63,238,1056,106
616,1499,143,64,227,1065,106
617,1499,143,64,224,1068,106
618,1499,144,58,225,1072,106
619,1500,141,59,225,1075,105
620,1499,150,56,222,1071,105
621,1500,143,52,231,1074,105
622,1500,139,59,233,1069,105
623,1499,141,59,231,1068,105
624,1496,145,60,228,1063,105
625,1494,139,65,227,1063,104
626,1499,135,68,230,1066,104
627,1499,141,66,225,1067,103
628,1500,141,69,227,1063,103
629,1499,139,58,235,1067,103
630,1497,136,61,233,1067,103
631,1500,136,57,238,1069,103
632,1499,135,58,232,1074,103
633,1500,133,66,232,1069,103
634,1500,132,67,235,1066,103
635,1500,129,63,234,1074,102
636,1498,134,56,234,1074,101
637,1499,132,56,241,1070,101
638,1499,123,60,246,1070,102
639,1500,123,67,238,1072,102
640,1498,127,66,233,1072,103
641,1500,129,65,236,1070,105
642,1500,123,62,242,1073,105
643,1498,131,59,235,1073,106
644,1498,127,64,235,1072,105
645,1496,128,65,234,1069,105
646,1497,131,62,236,1068,104
647,1500,132,63,234,1071,104
648,1500,132,58,240,1070,103
649,1499,123,65,242,1069,103
650,1500,127,73,234,1066,104
651,1496,124,68,235,1069,104
652,1500,123,74,233,1070,104
653,1499,113,69,247,1070,103
654,1498,116,66,250,1066,102
655,1500,115,66,250,1069,102
656,1496,121,56,250,1069,103
657,1498,120,65,247,1066,102
658,1500,124,65,248,1063,103
659,1499,127,65,246,1061,101
660,1500,127,68,244,1061,102
661,1496,125,59,256,1056,102
662,1499,128,65,248,1058,102
663,1499,129,67,248,1055,102
664,1500,130,70,249,1051,102
665,1495,129,64,250,1052,101
666,1495,127,55,259,1054,101
667,1492,132,55,249,1056,98
668,1494,137,62,248,1047,99
669,1499,150,64,241,1044,99
670,1496,138,71,239,1048,97
671,1500,139,76,239,1046,97
672,1499,137,64,247,1051,98
673,1495,136,70,241,1048,98
674,1500,140,60,254,1046,98
675,1500,144,58,248,1050,98
676,1499,145,58,245,1051,98
677,1497,148,55,247,1047,97
678,1499,147,62,247,1043,97
679,1500,150,64,244,1042,97
680,1500,145,70,234,1051,98
681,1499,150,69,236,1044,99
682,1500,146,73,238,1043,98
683,1500,148,69,249,1034,98
684,1500,145,73,247,1035,98
685,1500,141,75,250,1034,98
686,1499,146,74,245,1034,99
687,1499,148,58,260,1033,99
688,1500,147,68,247,1038,98
689,1497,156,62,246,1033,97
690,1496,143,66,254,1033,97
691,1499,144,74,249,1032,97
692,1500,153,70,256,1021,96
693,1496,141,76,254,1025,96
694,1499,134,75,265,1025,97
695,1498,130,78,266,1024,96
696,1500,132,78,264,1026,96
697,1499,123,70,268,1038,96
698,1500,118,66,273,1043,96
699,1500,123,55,275,1047,96
700,1500,123,55,275,1047,96
701,1487,110,64,263,1050,95
702,1491,104,68,265,1054,98
703,1485,108,67,259,1051,97
704,1483,108,66,259,1050,97
705,1490,115,56,269,1050,97
706,1494,118,61,266,1049,97
707,1499,123,62,263,1051,97
708,1500,119,65,255,1061,96
709,1497,117,64,252,1064,96
710,1493,115,60,257,1061,96
711,1500,119,64,245,1072,95
712,1500,123,52,242,1083,95
713,1495,121,53,237,1084,94
714,1499,123,56,236,1084,94
715,1499,121,53,238,1087,94
716,1497,114,69,227,1087,94
717,1497,122,58,234,1083,97
718,1498,128,48,236,1086,96
719,1498,125,56,222,1095,95
720,1497,124,56,225,1092,95
721,1499,137,60,221,1081,95
722,1496,137,54,224,1081,95
723,1498,144,55,219,1080,95
724,1498,146,55,218,1079,94
725,1500,152,55,218,1075,94
726,1497,157,55,213,1072,93
727,1500,155,66,209,1070,91
728,1498,147,65,212,1074,91
729,1498,153,65,211,1069,90
730,1499,140,77,220,1062,91
731,1499,143,69,222,1065,91
732,1493,144,62,223,1064,91
733,1500,142,68,229,1061,90
734,1500,137,69,231,1063,90
735,1500,139,70,234,1057,90
736,1498,135,70,239,1054,89
737,1500,131,72,247,1050,90
738,1498,132,73,245,1048,91
739,1500,132,78,245,1045,91
740,1500,125,76,257,1042,91
741,1499,123,68,267,1041,90
742,1500,129,68,263,1040,92
743,1500,131,62,270,1037,93
744,1499,129,52,278,1040,93
745,1500,138,51,269,1042,94
746,1500,145,48,264,1043,95
747,1500,147,50,260,1043,96
748,1499,143,57,252,1047,97
749,1500,136,64,255,1045,97
750,1496,135,70,243,1048,97
751,1497,144,68,240,1045,98
752,1494,154,58,243,1039,100
753,1500,149,57,255,1039,99
754,1496,157,56,239,1044,98
755,1500,165,57,232,1046,97
756,1500,155,63,233,1049,97
757,1491,148,62,229,1052,97
758,1489,145,70,218,1056,97
759,1495,144,76,223,1052,98
760,1498,151,68,226,1053,97
761,1498,146,68,232,1052,97
762,1497,145,63,241,1048,98
763,1499,140,68,246,1045,99
764,1500,141,63,248,1048,99
765,1495,136,70,245,1044,99
766,1494,138,61,249,1046,100
767,1494,148,60,240,1046,101
768,1500,144,66,246,1044,102
769,1498,142,65,247,1044,103
770,1500,145,68,244,1043,102
771,1498,148,66,244,1040,103
772,1499,146,60,258,1035,102
773,1500,143,66,252,1039,102
774,1500,142,62,250,1046,102
775,1498,137,73,245,1043,101
776,1500,147,69,243,1041,104
777,1496,146,69,243,1038,103
778,1496,149,67,244,1036,104
779,1500,149,62,255,1034,105
780,1497,138,74,245,1040,104
781,1498,137,73,247,1041,103
782,1498,138,67,252,1041,104
783,1498,135,71,250,1042,105
784,1500,136,58,261,1045,106
785,1498,139,58,256,1045,106
786,1498,136,63,249,1050,107
787,1499,134,63,254,1048,106
788,1499,136,63,249,1051,107
789,1497,132,67,251,1047,105
790,1498,135,62,253,1048,105
