ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
416,1494,98,62,252,1082,290,62
417,1498,107,62,247,1082,293,62
418,1498,103,57,259,1079,295,63
419,1500,106,56,260,1078,296,63
420,1499,105,59,258,1077,297,63
421,1500,102,63,254,1081,295,63
422,1500,97,64,257,1082,294,64
423,1500,105,58,255,1082,294,63
424,1498,104,59,250,1085,294,62
425,1500,97,54,263,1086,294,62
426,1492,91,57,254,1090,294,61
427,1487,92,60,241,1094,293,62
428,1493,96,59,247,1091,294,63
429,1492,105,55,235,1097,292,64
430,1492,111,51,229,1101,290,65
431,1498,123,49,237,1089,291,65
432,1494,134,47,225,1088,289,66
433,1499,147,58,220,1074,292,66
434,1500,156,62,218,1064,292,66
435,1500,164,62,219,1055,291,67
436,1500,170,62,219,1049,293,67
437,1500,166,66,223,1045,297,67
438,1499,153,79,220,1047,297,67
439,1493,167,79,210,1037,297,68
440,1497,178,75,219,1025,297,68
441,1499,178,76,230,1015,299,68
442,1500,184,83,232,1001,298,68
443,1499,179,97,236,987,297,67
444,1499,180,99,242,978,299,69
445,1496,176,105,246,969,296,68
446,1499,166,107,260,966,299,69
447,1500,159,110,275,956,298,68
448,1498,164,98,294,942,298,67
449,1499,154,101,310,934,297,67
450,1499,155,95,321,928,295,68
451,1497,139,105,327,926,292,67
452,1493,130,110,336,917,293,67
453,1496,117,105,353,921,292,66
454,1499,112,97,362,928,292,67
455,1498,109,86,371,932,293,66
456,1500,100,87,376,937,293,66
457,1495,88,91,378,938,294,66
458,1488,94,75,379,940,296,66
459,1484,99,60,382,943,298,66
460,1483,104,54,377,948,297,65
461,1479,97,58,369,955,297,65
462,1479,97,68,349,965,297,66
463,1477,101,73,330,973,299,67
464,1475,100,62,326,987,301,66
465,1477,107,61,318,991,303,63
466,1483,106,69,316,992,304,63
467,1487,103,84,300,1000,307,64
468,1486,106,81,284,1015,306,63
469,1478,101,86,271,1020,301,63
470,1483,111,71,269,1032,301,63
471,1485,118,57,280,1030,302,63
472,1492,125,57,272,1038,304,63
473,1490,121,60,265,1044,308,62
474,1496,118,75,252,1051,309,65
475,1500,108,84,249,1059,311,66
476,1500,106,78,259,1057,311,66
477,1500,104,68,274,1054,311,66
478,1500,106,61,272,1061,310,65
479,1499,93,65,273,1068,307,65
480,1496,93,59,271,1073,306,65
481,1500,96,60,269,1075,308,66
482,1498,96,51,276,1075,307,66
483,1498,100,49,273,1076,304,67
484,1497,102,55,260,1080,306,66
485,1491,93,62,242,1094,306,64
486,1492,91,65,240,1096,308,63
487,1495,95,65,239,1096,312,64
488,1500,99,62,248,1091,312,64
489,1498,95,67,250,1086,315,64
490,1500,100,65,248,1087,315,64
491,1496,97,64,240,1095,314,63
492,1494,103,63,232,1096,315,63
493,1493,103,54,234,1102,315,64
494,1498,103,59,232,1104,316,64
495,1500,106,62,233,1099,315,63
496,1500,107,57,230,1106,315,64
497,1499,107,59,226,1107,313,65
498,1500,98,55,236,1111,312,65
499,1500,100,53,237,1110,312,65
500,1499,104,53,239,1103,309,63
501,1496,107,48,235,1106,308,62
502,1499,113,44,232,1110,308,61
503,1498,118,45,228,1107,307,61
504,1496,116,51,221,1108,308,61
505,1500,121,60,213,1106,306,61
506,1500,108,71,210,1111,306,62
507,1497,111,64,207,1115,303,63
508,1497,116,65,207,1109,298,63
509,1499,123,57,212,1107,297,61
510,1495,130,42,216,1107,294,61
511,1498,131,42,215,1110,295,60
512,1498,137,47,207,1107,295,60
513,1500,123,62,203,1112,296,60
514,1500,132,61,197,1110,299,60
515,1496,125,65,197,1109,297,60
516,1493,118,63,200,1112,296,60
517,1493,129,55,206,1103,294,60
518,1498,136,61,207,1094,293,61
519,1500,128,57,217,1098,293,61
520,1500,124,60,218,1098,293,63
521,1497,123,62,213,1099,294,62
522,1497,113,65,218,1101,294,63
523,1500,111,68,215,1106,295,63
524,1499,110,68,208,1113,293,63
525,1500,111,63,215,1111,294,63
526,1499,116,52,223,1108,293,64
527,1500,115,48,233,1104,294,64
528,1499,113,41,238,1107,296,64
529,1498,115,41,235,1107,295,66
530,1500,114,48,228,1110,299,65
531,1499,122,48,218,1111,298,65
532,1500,119,50,222,1109,299,65
533,1499,118,53,211,1117,299,65
534,1500,130,46,214,1110,298,65
535,1499,124,59,211,1105,299,64
536,1499,132,50,212,1105,302,64
537,1499,129,61,204,1105,301,64
538,1500,123,61,203,1113,302,64
539,1498,126,55,205,1112,301,64
540,1498,126,51,201,1120,303,64
541,1489,129,51,198,1111,300,64
542,1498,141,54,192,1111,300,66
543,1500,139,56,197,1108,302,67
544,1500,133,65,199,1103,303,68
545,1499,129,65,205,1100,303,68
546,1500,132,67,201,1100,302,68
547,1500,137,62,213,1088,301,67
548,1498,132,59,217,1090,302,68
549,1500,138,57,222,1083,302,68
550,1497,142,61,214,1080,304,66
551,1497,129,63,226,1079,305,66
552,1499,135,60,229,1075,305,67
553,1500,139,67,218,1076,307,67
554,1495,136,59,222,1078,308,68
555,1496,135,60,225,1076,307,68
556,1500,144,58,233,1065,307,68
557,1499,136,70,233,1060,306,67
558,1500,135,80,230,1055,307,66
559,1498,131,83,234,1050,306,67
560,1499,125,83,243,1048,306,68
561,1498,125,70,252,1051,305,67
562,1500,131,68,249,1052,302,67
563,1500,128,64,257,1051,304,67
564,1496,124,64,261,1047,303,67
565,1493,127,58,260,1048,303,66
566,1497,127,65,254,1051,307,65
567,1499,123,60,266,1050,307,65
568,1498,114,67,259,1058,306,66
569,1499,97,83,254,1065,307,68
570,1498,96,82,258,1062,309,64
571,1500,95,83,260,1062,309,64
572,1500,89,75,271,1065,310,64
573,1498,86,66,279,1067,309,64
574,1499,96,58,283,1062,306,64
575,1486,87,69,267,1063,304,63
576,1493,102,71,263,1057,307,63
577,1495,104,73,257,1061,307,63
578,1500,100,78,260,1062,305,63
579,1494,90,83,261,1060,304,63
580,1500,98,78,271,1053,305,65
581,1500,102,74,269,1055,304,65
582,1500,102,70,282,1046,303,65
583,1498,108,65,287,1038,299,65
584,1496,114,66,283,1033,298,65
585,1495,110,72,280,1033,299,65
586,1498,109,72,282,1035,298,65
587,1499,119,75,270,1035,298,63
588,1500,140,67,266,1027,296,64
589,1498,137,71,271,1019,297,62
590,1494,132,69,282,1011,295,63
591,1497,127,79,279,1012,295,64
592,1497,127,83,277,1010,294,64
593,1489,124,83,278,1004,292,64
594,1491,118,86,284,1003,293,66
595,1500,117,93,286,1004,296,67
596,1500,119,89,277,1015,293,69
597,1492,109,84,283,1016,294,67
598,1500,119,74,298,1009,297,68
599,1496,110,73,306,1007,296,68
600,1498,113,77,298,1010,299,68
601,1496,99,88,301,1008,299,69
602,1500,93,89,303,1015,302,69
603,1499,89,88,302,1020,301,69
604,1495,88,83,305,1019,301,69
605,1493,94,75,318,1006,300,69
606,1496,95,71,320,1010,301,69
607,1494,94,72,318,1010,303,69
608,1497,103,65,311,1018,303,69
609,1491,96,71,307,1017,303,69
610,1485,92,64,313,1016,301,69
611,1481,87,80,302,1012,299,69
612,1480,100,78,286,1016,297,68
613,1480,110,71,284,1015,299,67
614,1483,103,81,289,1010,298,69
615,1483,97,77,296,1013,300,69
616,1484,106,78,291,1009,299,69
617,1488,112,75,290,1011,302,69
618,1485,106,69,293,1017,300,68
619,1476,102,69,282,1023,295,68
620,1478,98,73,281,1026,297,67
621,1487,105,70,282,1030,300,68
622,1494,114,72,279,1029,299,70
623,1498,115,74,281,1028,301,70
624,1495,104,81,278,1032,302,69
625,1498,108,81,280,1029,302,68
626,1498,104,76,290,1028,302,68
627,1499,116,65,288,1030,301,68
628,1495,103,65,293,1034,301,68
629,1494,104,65,285,1040,305,68
630,1491,100,67,285,1039,305,67
631,1498,106,70,280,1042,310,67
632,1495,106,70,273,1046,309,66
633,1500,108,73,273,1046,311,65
634,1496,108,66,275,1047,306,65
635,1500,110,62,273,1055,306,65
636,1500,107,59,276,1058,307,65
